Date,DowJones,NASDAQ,SP500
2023-03-23,32105.25,11787.400390625,3948.719970703125
2023-03-24,32237.529296875,11823.9599609375,3970.989990234375
2023-03-27,32432.080078125,11768.83984375,3977.530029296875
2023-03-28,32394.25,11716.080078125,3971.27001953125
2023-03-29,32717.599609375,11926.240234375,4027.81005859375
2023-03-30,32859.03125,12013.4697265625,4050.830078125
2023-03-31,33274.1484375,12221.91015625,4109.31005859375
2023-04-03,33601.1484375,12189.4501953125,4124.509765625
2023-04-04,33402.37890625,12126.330078125,4100.60009765625
2023-04-05,33482.71875,11996.8603515625,4090.3798828125
2023-04-06,33485.2890625,12087.9599609375,4105.02001953125
2023-04-10,33586.51953125,12084.3603515625,4109.10986328125
2023-04-11,33684.7890625,12031.8798828125,4108.93994140625
2023-04-12,33646.5,11929.33984375,4091.949951171875
2023-04-13,34029.69140625,12166.26953125,4146.22021484375
2023-04-14,33886.46875,12123.4697265625,4137.64013671875
2023-04-17,33987.1796875,12157.7197265625,4151.31982421875
2023-04-18,33976.62890625,12153.41015625,4154.8701171875
2023-04-19,33897.01171875,12157.23046875,4154.52001953125
2023-04-20,33786.62109375,12059.5595703125,4129.7900390625
2023-04-21,33808.9609375,12072.4599609375,4133.52001953125
2023-04-24,33875.3984375,12037.2001953125,4137.0400390625
2023-04-25,33530.828125,11799.16015625,4071.6298828125
2023-04-26,33301.87109375,11854.349609375,4055.989990234375
2023-04-27,33826.16015625,12142.240234375,4135.35009765625
2023-04-28,34098.16015625,12226.580078125,4169.47998046875
2023-05-01,34051.69921875,12212.599609375,4167.8701171875
2023-05-02,33684.53125,12080.509765625,4119.580078125
2023-05-03,33414.23828125,12025.330078125,4090.75
2023-05-04,33127.73828125,11966.400390625,4061.219970703125
2023-05-05,33674.37890625,12235.41015625,4136.25
2023-05-08,33618.69140625,12256.919921875,4138.1201171875
2023-05-09,33561.80859375,12179.5498046875,4119.169921875
2023-05-10,33531.328125,12306.4404296875,4137.64013671875
2023-05-11,33309.51171875,12328.509765625,4130.6201171875
2023-05-12,33300.62109375,12284.740234375,4124.080078125
2023-05-15,33348.6015625,12365.2099609375,4136.27978515625
2023-05-16,33012.140625,12343.0498046875,4109.89990234375
2023-05-17,33420.76953125,12500.5703125,4158.77001953125
2023-05-18,33535.91015625,12688.83984375,4198.0498046875
2023-05-19,33426.62890625,12657.900390625,4191.97998046875
2023-05-22,33286.578125,12720.7802734375,4192.6298828125
2023-05-23,33055.51171875,12560.25,4145.580078125
2023-05-24,32799.921875,12484.16015625,4115.240234375
2023-05-25,32764.650390625,12698.08984375,4151.27978515625
2023-05-26,33093.33984375,12975.6904296875,4205.4501953125
2023-05-30,33042.78125,13017.4296875,4205.52001953125
2023-05-31,32908.26953125,12935.2900390625,4179.830078125
2023-06-01,33061.5703125,13100.98046875,4221.02001953125
2023-06-02,33762.76171875,13240.76953125,4282.3701171875
2023-06-05,33562.859375,13229.4296875,4273.7900390625
2023-06-06,33573.28125,13276.419921875,4283.85009765625
2023-06-07,33665.01953125,13104.900390625,4267.52001953125
2023-06-08,33833.609375,13238.51953125,4293.93017578125
2023-06-09,33876.78125,13259.1396484375,4298.85986328125
2023-06-12,34066.328125,13461.919921875,4338.93017578125
2023-06-13,34212.12109375,13573.3203125,4369.009765625
2023-06-14,33979.328125,13626.48046875,4372.58984375
2023-06-15,34408.05859375,13782.8203125,4425.83984375
2023-06-16,34299.12109375,13689.5703125,4409.58984375
2023-06-20,34053.87109375,13667.2900390625,4388.7099609375
2023-06-21,33951.51953125,13502.2001953125,4365.68994140625
2023-06-22,33946.7109375,13630.6103515625,4381.89013671875
2023-06-23,33727.4296875,13492.51953125,4348.330078125
2023-06-26,33714.7109375,13335.7802734375,4328.81982421875
2023-06-27,33926.73828125,13555.669921875,4378.41015625
2023-06-28,33852.66015625,13591.75,4376.85986328125
2023-06-29,34122.421875,13591.330078125,4396.43994140625
2023-06-30,34407.6015625,13787.919921875,4450.3798828125
2023-07-03,34418.46875,13816.76953125,4455.58984375
2023-07-05,34288.640625,13791.650390625,4446.81982421875
2023-07-06,33922.26171875,13679.0400390625,4411.58984375
2023-07-07,33734.87890625,13660.7197265625,4398.9501953125
2023-07-10,33944.3984375,13685.48046875,4409.52978515625
2023-07-11,34261.421875,13760.7001953125,4439.259765625
2023-07-12,34347.4296875,13918.9599609375,4472.16015625
2023-07-13,34395.140625,14138.5703125,4510.0400390625
2023-07-14,34509.03125,14113.7001953125,4505.419921875
2023-07-17,34585.3515625,14244.9501953125,4522.7900390625
2023-07-18,34951.9296875,14353.6396484375,4554.97998046875
2023-07-19,35061.2109375,14358.01953125,4565.72021484375
2023-07-20,35225.1796875,14063.3095703125,4534.8701171875
2023-07-21,35227.69140625,14032.8095703125,4536.33984375
2023-07-24,35411.23828125,14058.8701171875,4554.64013671875
2023-07-25,35438.0703125,14144.5595703125,4567.4599609375
2023-07-26,35520.12109375,14127.2802734375,4566.75
2023-07-27,35282.71875,14050.1103515625,4537.41015625
2023-07-28,35459.2890625,14316.66015625,4582.22998046875
2023-07-31,35559.53125,14346.01953125,4588.9599609375
2023-08-01,35630.6796875,14283.91015625,4576.72998046875
2023-08-02,35282.51953125,13973.4501953125,4513.39013671875
2023-08-03,35215.890625,13959.7197265625,4501.89013671875
2023-08-04,35065.62109375,13909.240234375,4478.02978515625
2023-08-07,35473.12890625,13994.400390625,4518.43994140625
2023-08-08,35314.48828125,13884.3203125,4499.3798828125
2023-08-09,35123.359375,13722.01953125,4467.7099609375
2023-08-10,35176.1484375,13737.990234375,4468.830078125
2023-08-11,35281.3984375,13644.849609375,4464.0498046875
2023-08-14,35307.62890625,13788.330078125,4489.72021484375
2023-08-15,34946.390625,13631.0498046875,4437.85986328125
2023-08-16,34765.73828125,13474.6298828125,4404.330078125
2023-08-17,34474.828125,13316.9296875,4370.35986328125
2023-08-18,34500.66015625,13290.7802734375,4369.7099609375
2023-08-21,34463.69140625,13497.58984375,4399.77001953125
2023-08-22,34288.828125,13505.8701171875,4387.5498046875
2023-08-23,34472.98046875,13721.0302734375,4436.009765625
2023-08-24,34099.421875,13463.9697265625,4376.31005859375
2023-08-25,34346.8984375,13590.650390625,4405.7099609375
2023-08-28,34559.98046875,13705.1298828125,4433.31005859375
2023-08-29,34852.671875,13943.759765625,4497.6298828125
2023-08-30,34890.23828125,14019.3095703125,4514.8701171875
2023-08-31,34721.91015625,14034.9697265625,4507.66015625
2023-09-01,34837.7109375,14031.8095703125,4515.77001953125
2023-09-05,34641.96875,14020.9501953125,4496.830078125
2023-09-06,34443.19140625,13872.4697265625,4465.47998046875
2023-09-07,34500.73046875,13748.830078125,4451.14013671875
2023-09-08,34576.58984375,13761.5302734375,4457.490234375
2023-09-11,34663.71875,13917.8896484375,4487.4599609375
2023-09-12,34645.98828125,13773.6103515625,4461.89990234375
2023-09-13,34575.53125,13813.58984375,4467.43994140625
2023-09-14,34907.109375,13926.0498046875,4505.10009765625
2023-09-15,34618.23828125,13708.330078125,4450.31982421875
2023-09-18,34624.30078125,13710.240234375,4453.52978515625
2023-09-19,34517.73046875,13678.1904296875,4443.9501953125
2023-09-20,34440.87890625,13469.1298828125,4402.2001953125
2023-09-21,34070.421875,13223.98046875,4330.0
2023-09-22,33963.83984375,13211.8095703125,4320.06005859375
2023-09-25,34006.87890625,13271.3203125,4337.43994140625
